COLLISION_ID,CRASH_DATETIME,YEAR,MONTH,HOUR,DAY_OF_WEEK,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING_FACTOR_1,VEHICLE_TYPE,VEHICLE_MAKE,VEHICLE_YEAR,DRIVER_SEX,POINT_OF_IMPACT,TRAVEL_DIRECTION
4707952,2024-03-04 08:00:00,2024,3,8,Monday,Queens,11693,40.58761,-73.810974,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Sedan,Hyun -Car/Suv,2023,Unknown,Center Front End,South
4707940,2024-03-05 12:11:00,2024,3,12,Tuesday,Bronx,10452,40.83955,-73.91595,2,0,0,0,0,0,2,0,Illnes,Other Vehicular,Sedan,Saa -Car/Suv,2007,M,Center Back End,East
4707940,2024-03-05 12:11:00,2024,3,12,Tuesday,Bronx,10452,40.83955,-73.91595,2,0,0,0,0,0,2,0,Illnes,Illnes,Station Wagon/Sport Utility Vehicle,Chev -Car/Suv,2024,M,Center Front End,East
4707940,2024-03-05 12:11:00,2024,3,12,Tuesday,Bronx,10452,40.83955,-73.91595,2,0,0,0,0,0,2,0,Illnes,Unspecified,Sedan,Kia -Car/Suv,2023,F,Center Front End,East
4707942,2024-03-05 16:13:00,2024,3,16,Tuesday,Bronx,10457,40.84299,-73.91099,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Niss -Car/Suv,2012,Unknown,Center Front End,East
4707978,2024-03-04 05:50:00,2024,3,5,Monday,Unknown,0,,,1,0,1,0,0,0,0,0,Failure To Yield Right-Of-Way,Failure To Yield Right-Of-Way,Sedan,Ford -Car/Suv,2013,Unknown,Center Front End,East
4707924,2024-03-02 16:30:00,2024,3,16,Saturday,Unknown,0,40.737682,-73.85206,1,0,1,0,0,0,0,0,Failure To Yield Right-Of-Way,Failure To Yield Right-Of-Way,Pick-Up Truck,Unknown,2012,M,Left Front Bumper,East
4707395,2024-03-05 22:05:00,2024,3,22,Tuesday,Brooklyn,11235,40.58859,-73.95841,1,0,0,0,0,0,1,0,Backing Unsafely,Unspecified,Station Wagon/Sport Utility Vehicle,Lexs -Car/Suv,2023,Unknown,Right Front Quarter Panel,South
4707395,2024-03-05 22:05:00,2024,3,22,Tuesday,Brooklyn,11235,40.58859,-73.95841,1,0,0,0,0,0,1,0,Backing Unsafely,Unspecified,Station Wagon/Sport Utility Vehicle,Toyt -Car/Suv,2018,Unknown,Right Front Bumper,South
4707395,2024-03-05 22:05:00,2024,3,22,Tuesday,Brooklyn,11235,40.58859,-73.95841,1,0,0,0,0,0,1,0,Backing Unsafely,Backing Unsafely,Station Wagon/Sport Utility Vehicle,Ford -Car/Suv,2014,M,Left Rear Quarter Panel,North
4707395,2024-03-05 22:05:00,2024,3,22,Tuesday,Brooklyn,11235,40.58859,-73.95841,1,0,0,0,0,0,1,0,Backing Unsafely,Unspecified,Station Wagon/Sport Utility Vehicle,Jeep -Car/Suv,2005,Unknown,Right Front Quarter Panel,South
4707901,2024-03-05 13:17:00,2024,3,13,Tuesday,Brooklyn,11236,40.64165,-73.89069,1,0,0,0,0,0,1,0,Failure To Yield Right-Of-Way,Unspecified,Sedan,Kia -Car/Suv,2022,F,Right Rear Quarter Panel,West
4707136,2024-03-05 03:18:00,2024,3,3,Tuesday,Manhattan,10065,40.76118,-73.95791,0,0,0,0,0,0,0,0,Unsafe Speed,Unsafe Speed,Sedan,Niss -Car/Suv,2020,M,Center Front End,South
4707486,2024-03-05 11:02:00,2024,3,11,Tuesday,Queens,11385,40.69622,-73.89988,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,Sedan,Niss -Car/Suv,2010,Unknown,Other,East
4707858,2024-03-04 00:00:00,2024,3,0,Monday,Brooklyn,11207,40.65325,-73.89099,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,Unknown,Unknown,0,Unknown,Unknown,Unknown
4707217,2024-03-05 08:45:00,2024,3,8,Tuesday,Queens,11369,40.758022,-73.87539,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Sedan,Unknown,2021,M,Center Back End,South
4707498,2024-03-05 14:15:00,2024,3,14,Tuesday,Queens,11385,40.701687,-73.91176,0,0,0,0,0,0,0,0,Other Vehicular,Passing Too Closely,Station Wagon/Sport Utility Vehicle,Ford -Car/Suv,2021,M,Left Side Doors,South
4707498,2024-03-05 14:15:00,2024,3,14,Tuesday,Queens,11385,40.701687,-73.91176,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Bus,Ford-Truck/Bus,2019,M,No Damage,North
4707237,2024-03-05 09:40:00,2024,3,9,Tuesday,Unknown,0,40.677715,-73.93587,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Station Wagon/Sport Utility Vehicle,Chev -Car/Suv,2013,M,Center Back End,East
4707237,2024-03-05 09:40:00,2024,3,9,Tuesday,Unknown,0,40.677715,-73.93587,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Ford -Car/Suv,2022,M,Center Front End,East
4707343,2024-03-05 15:10:00,2024,3,15,Tuesday,Brooklyn,11210,40.621994,-73.94598,1,0,0,0,0,0,1,0,Failure To Yield Right-Of-Way,Failure To Yield Right-Of-Way,Sedan,Niss -Car/Suv,2021,M,Right Front Bumper,Southeast
4707312,2024-03-05 07:45:00,2024,3,7,Tuesday,Unknown,0,40.62055,-74.16919,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Sedan,Toyt -Car/Suv,2021,F,Right Side Doors,East
4707312,2024-03-05 07:45:00,2024,3,7,Tuesday,Unknown,0,40.62055,-74.16919,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Sedan,Niss -Car/Suv,2020,F,Center Front End,North
